work_id,category,state,ida,mp_name,constituency,work_desc,recommended_date,sanction_date,sanctioned_amount,status,sanction_delay_days,ml_predicted_cost,deviation_pct,mod_z_score,agency_median_deviation
133166.0,Normal/Others,KARNATAKA,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,2024-07-08,2024-07-09,497185.0,Physical Inspection,1.0,532629.6306633047,-0.06654648675696864,-0.4427711881781892,-0.16239239355860094
133167.0,Trust and Society,KARNATAKA,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of College room of  CBS Charitable Foudation at Nulvi Vilage Pry No 817/3 Continued work,2024-07-08,2025-09-18,500000.0,Sanction,437.0,646808.456898523,-0.22697361998400034,-0.4427711881781892,-0.16239239355860094
133190.0,Trust and Society,KARNATAKA,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Bhavan of Veerashaiv Jangam Society (R) at Ward No 21 Chidamarnagar Dharwad,2024-07-08,2024-09-23,450000.0,Sanction,77.0,880907.4875929272,-0.48916315692851986,-0.4427711881781892,-0.16239239355860094
133191.0,Normal/Others,KARNATAKA,HAVERI(DEPUTY COMMISSIONER HAVERI_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Maremma Cultural bhavan at Neerlgudda village Shiggava TQ,2024-07-08,2025-05-29,1500000.0,Work partially Completed,325.0,377206.8928446959,2.9765975342809603,0.0,0.457272294757382
133301.0,Normal/Others,KARNATAKA,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,"Construction of Cultural Bhavan at Kundagol TQ, Chickgungal Village ST Colony, Pry No.202",2024-07-09,2024-08-22,398009.0,Physical Inspection,44.0,348435.0413242416,0.14227604229284901,-0.4427711881781892,-0.16239239355860094
133303.0,Normal/Others,KARNATAKA,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Uppinbetageri Village Near Mallikarjun Temple Pry No1151,2024-07-09,2024-07-25,399104.0,Physical Inspection,16.0,499928.791855395,-0.2016783059867428,-0.4427711881781892,-0.16239239355860094
133304.0,Normal/Others,KARNATAKA,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Shibargatti Village Near Hanamanth Temple Pry No 96,2024-07-09,2024-08-22,396154.0,Physical Inspection,44.0,335714.1354183454,0.180033719778699,-0.4427711881781892,-0.16239239355860094
133305.0,Normal/Others,KARNATAKA,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Hosategur Village Near Shri Girimalleshwar Math Pry No 518 Continue work,2024-07-09,2025-06-03,400000.0,Sanction,329.0,487480.50853410416,-0.17945437202641307,-0.4427711881781892,-0.16239239355860094
133306.0,Normal/Others,KARNATAKA,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Kardigudda Village Near Mallikarjun Temple Pry No 451/2,2024-07-09,2025-03-14,495627.0,Physical Inspection,248.0,320280.3665374363,0.5474785587335341,-0.4427711881781892,-0.16239239355860094
133307.0,Normal/Others,KARNATAKA,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Tadakod Village Near Vittal Temple Pry No 319,2024-07-09,2024-08-17,398955.0,Physical Inspection,39.0,554539.0558688706,-0.2805646495450103,-0.4427711881781892,-0.16239239355860094
