"Work ID","Work Description","Category","MP Name","Constituency","State","House","Final Amount (₹)","Completed Date","Has Images","Average Rating","IDA"
134703,"Upgradation of Road from Madhavaram Village to Company Indlu of Madhavaram GP","Normal/Others","DAGGUMALLA PRASADA RAO","CHITTOOR","Andhra Pradesh","Lok Sabha",499993,"2025-01-31T00:00:00.000Z",true,,"CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)"
135593,"Construction of CC Road from Amudala Village to AmudalaHW in Amudala Village&GP of Palasamudram MAndal of GD Nellore Constituency","Normal/Others","DAGGUMALLA PRASADA RAO","CHITTOOR","Andhra Pradesh","Lok Sabha",448722,"2024-12-05T00:00:00.000Z",true,,"CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)"
135595,"Construction of CC road from Amudala Village to Amudala ST colony in Amudala Village & GP of Palasamudram Mandal of GD Nelloore Constituency","Normal/Others","DAGGUMALLA PRASADA RAO","CHITTOOR","Andhra Pradesh","Lok Sabha",448970,"2024-12-05T00:00:00.000Z",true,,"CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)"
135639,"Construction of Under Ground Drainage at Thalaripalli HW(Reach 1) H/O Ramakrishnapuram GP in Penumuru Mandal of GD Nelloore Constituency.","Normal/Others","DAGGUMALLA PRASADA RAO","CHITTOOR","Andhra Pradesh","Lok Sabha",440871,"2025-08-20T00:00:00.000Z",true,,"CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)"
135640,"Construction of Under Ground Draiange at Thalaripalli HW(Reach II) H/O Ramakrishnapuram GP in Penumuru Mandal of GD Nellore Constituency.","Normal/Others","DAGGUMALLA PRASADA RAO","CHITTOOR","Andhra Pradesh","Lok Sabha",500000,"2025-03-03T00:00:00.000Z",true,,"CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)"
135641,"Construction of Under Ground Drainage at Thalaripalli HW (Reach III) H/O Ramakrishnapuram GP in Penumuru Mandal of GD Nelloore Constituency.","Normal/Others","DAGGUMALLA PRASADA RAO","CHITTOOR","Andhra Pradesh","Lok Sabha",489209,"2025-03-03T00:00:00.000Z",true,,"CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)"
135642,"Construction of Under Ground Drainage at Penumuru Town (Reach I)& GP, Penumuru Mandal of GD Nelloore Constituency.","Normal/Others","DAGGUMALLA PRASADA RAO","CHITTOOR","Andhra Pradesh","Lok Sabha",477866,"2025-02-08T00:00:00.000Z",true,,"CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)"
135643,"Construction of Under Ground Drainage at Penumuru Town (Reach II)&GP, Penumuru Mandal of GD Nelloore Constituency.","Normal/Others","DAGGUMALLA PRASADA RAO","CHITTOOR","Andhra Pradesh","Lok Sabha",200000,"2025-02-08T00:00:00.000Z",true,,"CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)"
135645,"Construction of CC Road in Payanagaripalli HW Village at sathayma Temple to Venkatama House and Sumati House to Tirumalaiaha House and Venkateswara Temple to Hari House, Gundlapalli GP, Irala mandal of Puthalapattu Constituency.","Normal/Others","DAGGUMALLA PRASADA RAO","CHITTOOR","Andhra Pradesh","Lok Sabha",397837,"2024-10-25T00:00:00.000Z",true,,"CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)"
135646,"Construction of CC Road at Hand Borewell to Sri Ramathirtha Sevashramam in Gundlapalli GP, Irala Mandal of Puthalapattu Constituency.","Normal/Others","DAGGUMALLA PRASADA RAO","CHITTOOR","Andhra Pradesh","Lok Sabha",99809,"2024-10-25T00:00:00.000Z",true,,"CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)"
135647,"Construction of CC Road From Pump House room to R&B Road Link and Markondaiah House to Venkatapuram HW end in Venkatapuram HW Village in Gundlapalli GP, Irala Mandal of Puthalapattu Constituency.","Normal/Others","DAGGUMALLA PRASADA RAO","CHITTOOR","Andhra Pradesh","Lok Sabha",497766,"2024-10-25T00:00:00.000Z",true,,"CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)"
135648,"Construction of CC Road from Nellepalli Mitta to Milk Dairy Nellepalli Mitta in Nellepalli GP of GD Nelloore Mandal and Constituency.","Normal/Others","DAGGUMALLA PRASADA RAO","CHITTOOR","Andhra Pradesh","Lok Sabha",499570,"2025-01-07T00:00:00.000Z",true,,"CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)"
135649,"Construction of CC Road from G. Nirmala House to Apparao & Hari House in Kothuru Village, Nellepalli GP of GD Nelloore Mandal and Constituency.","Normal/Others","DAGGUMALLA PRASADA RAO","CHITTOOR","Andhra Pradesh","Lok Sabha",490629,"2025-03-27T00:00:00.000Z",true,,"CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)"
135650,"Construction of CC Road from Milk Dairy to Juice Factory in Nellepalli Mitta in Nellepalli GP of GD Nelloore Mandal and Constituency.","Normal/Others","DAGGUMALLA PRASADA RAO","CHITTOOR","Andhra Pradesh","Lok Sabha",499781,"2025-01-07T00:00:00.000Z",true,,"CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA)"
