"MP Name","Constituency","State","House","Allocated Amount (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Unspent Amount (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"Smt. S. Phangnon Konyak (2022-28)","Sitting Rajya Sabha","Nagaland","Rajya Sabha",206563957.11,196626200,95.19,57,20,74.03,9937757.110000014,125,123,2,"N/A"
"Shri Arun Kumar Sagar ","SHAHJAHANPUR","Uttar Pradesh","Lok Sabha",147000000,138723000,94.37,4,3,57.14,8277000,45,45,0,"N/A"
"S SUPONGMEREN JAMIR","NAGALAND","Nagaland","Lok Sabha",147000000,138150000,93.98,38,18,67.86,8850000,81,81,0,"N/A"
"VIJAYLAKSHMI DEVI","SIWAN","Bihar","Lok Sabha",147000000,134748616,91.67,95,87,52.2,12251384,142,135,7,"N/A"
"Pradeep Kumar Singh","ARARIA","Bihar","Lok Sabha",147000000,132606146,90.21,39,47,45.35,14393854,86,68,18,"N/A"
"Smt Veena Devi ","VAISHALI","Bihar","Lok Sabha",147000000,131108889,89.19,30,29,50.85,15891111,49,49,0,"N/A"
"Smt. Darshana Singh (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196994373.87,174994106,88.83,31,16,65.96,22000267.870000005,133,132,1,"N/A"
"Shri Mithlesh Kumar (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,170753928,87.09,195,9,95.59,25310029.110000014,232,232,0,"N/A"
"Smt. Sangeeta Yadav (2022-28)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,169940841,86.68,43,78,35.54,26123116.110000014,261,260,1,"N/A"
"Smt. Geeta alias Chandraprabha (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,169877016.35,86.64,210,37,85.02,26186940.76000002,313,313,0,"N/A"
"Shri B.L. Verma (2020-26)","Sitting Rajya Sabha","Uttar Pradesh","Rajya Sabha",196063957.11,168937264.09,86.16,350,64,84.54,27126693.02000001,804,803,1,"N/A"
"Smt. Sumitra Balmik (2022-28)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",196063957.11,163767349,83.53,62,116,34.83,32296608.110000014,419,419,0,"N/A"
